year,month,SAN JOSE,ALAJUELA,HEREDIA,SAN CARLOS,PUNTARENAS,DESAMPARADOS,CARTAGO,PEREZ ZELEDON,POCOCI,MONTES DE OCA,LIBERIA,GOICOECHEA,LIMON,SANTA CRUZ,GARABITO,SIQUIRRES,SAN RAMON,NICOYA,QUEPOS,CURRIDABAT,TURRIALBA,LA UNION,TIBAS,OSA,TALAMANCA,ESCAZU,SARAPIQUI,MATINA,CORREDORES,ALAJUELITA,GOLFITO,MORAVIA,UPALA,GRECIA,SANTA ANA,SAN RAFAEL,GUACIMO,VASQUEZ DE CORONADO,CARRILLO,SANTO DOMINGO,OROTINA,BUENOS AIRES,ASERRI,PARAISO,COTO BRUS,PARRITA,BARVA,ESPARZA,LOS CHILES,BELEN,EL GUARCO,SANTA BARBARA,OREAMUNO,PURISCAL,SAN PABLO,PALMARES,ATENAS,FLORES,NARANJO,CANAS,POAS,BAGACES,LA CRUZ,MORA,ABANGARES,TILARAN,SAN ISIDRO,GUATUSO,JIMENEZ,MONTES DE ORO,TARRAZU,ALVARADO,ACOSTA,LEON CORTES,SAN MATEO,VALVERDE VEGA,RIO CUARTO,NANDAYURE,HOJANCHA,TURRUBARES,ZARCERO,DOTA,MONTEVERDE
2015,1,574,251,162,156,146,95,132,106,121,82,102,72,96,332,57,74,66,82,60,48,45,54,76,43,31,70,56,48,45,59,57,36,51,49,25,33,32,29,46,37,22,32,23,22,28,23,23,27,16,25,31,17,23,17,15,76,12,18,18,58,16,4,11,18,11,25,10,4,13,5,4,11,4,9,7,6,0,6,7,4,4,10,0
2015,2,548,232,163,142,198,133,120,118,126,87,99,74,100,69,60,72,72,105,70,76,66,67,55,60,25,50,46,49,50,44,60,35,56,52,26,29,33,24,26,23,28,36,25,28,21,28,18,15,24,20,25,10,18,24,15,15,22,15,18,39,15,6,16,8,7,18,4,10,6,9,7,5,3,2,1,11,0,7,4,0,0,3,0
2015,3,621,263,187,184,148,119,125,114,100,104,102,95,90,57,84,68,74,102,56,67,56,71,68,35,35,57,60,38,59,51,50,37,52,37,45,31,40,28,33,35,29,29,31,17,28,25,18,15,19,45,32,23,19,23,14,25,16,21,38,31,11,18,10,12,10,6,11,6,7,4,8,6,9,8,7,16,0,7,4,2,3,0,0
2015,4,586,266,175,176,137,125,123,147,118,115,98,99,99,70,65,70,67,83,67,49,65,58,55,43,66,67,69,35,52,54,49,40,61,41,38,38,39,32,34,38,37,36,21,28,27,24,25,17,23,24,30,17,21,14,26,12,17,10,15,29,13,13,18,15,11,14,12,13,7,6,9,3,5,5,2,8,0,7,5,4,5,1,0
2015,5,676,280,289,192,175,126,119,108,130,94,120,107,97,83,67,58,95,81,64,62,57,75,73,50,44,52,38,35,52,57,54,40,54,52,43,38,40,54,50,39,34,30,48,35,24,22,18,17,24,21,24,14,26,25,24,28,10,23,17,32,15,17,22,15,11,14,12,10,9,4,4,2,9,4,4,9,0,5,12,3,4,2,0
2015,6,724,217,168,157,158,148,140,122,114,108,100,90,72,50,71,68,80,49,76,73,54,71,56,55,49,54,50,34,54,54,52,42,40,57,35,25,30,36,42,38,22,27,31,31,22,18,28,23,22,16,25,25,25,20,17,13,12,23,18,28,17,18,22,11,12,14,11,10,12,7,8,6,3,9,3,7,0,2,2,1,2,0,0
2015,7,736,312,150,227,170,147,177,101,115,94,132,75,89,76,119,54,87,90,74,59,62,88,65,51,50,67,62,49,53,51,48,57,50,40,35,46,30,29,49,49,19,28,21,25,21,35,24,38,25,28,45,20,23,20,17,10,15,25,16,25,17,13,17,16,15,23,15,21,7,15,10,3,2,7,2,9,0,3,2,4,5,4,0
2015,8,702,293,208,161,182,120,141,125,116,122,118,77,103,76,64,73,72,63,67,52,78,71,57,55,83,50,57,67,48,41,53,42,47,37,44,54,41,21,59,51,23,19,29,48,23,44,23,24,26,14,29,24,39,21,26,11,21,21,16,29,6,19,16,10,14,18,12,20,9,4,8,6,6,9,3,8,0,4,4,3,4,3,0
2015,9,661,300,177,183,155,135,188,137,156,83,114,95,89,80,77,74,62,63,83,60,66,88,56,42,36,69,69,55,83,40,45,43,52,44,31,39,46,16,30,46,40,30,30,40,24,39,25,26,26,24,29,19,26,28,21,15,17,12,7,31,9,22,8,15,10,15,17,16,5,16,15,6,4,1,8,1,0,4,2,6,7,2,0
2015,10,762,268,193,173,143,131,153,144,131,97,89,118,87,67,103,67,87,71,67,73,54,50,49,43,77,70,62,48,50,59,43,44,55,39,38,28,49,39,48,32,49,34,22,38,27,26,22,20,23,42,31,13,17,15,23,9,23,13,14,28,14,15,12,11,14,11,16,17,5,5,5,2,5,5,5,7,0,4,5,4,7,8,0
