year,week,SAN JOSE,ALAJUELA,HEREDIA,SAN CARLOS,PUNTARENAS,DESAMPARADOS,CARTAGO,PEREZ ZELEDON,POCOCI,MONTES DE OCA,LIBERIA,GOICOECHEA,LIMON,SANTA CRUZ,GARABITO,SIQUIRRES,SAN RAMON,NICOYA,QUEPOS,CURRIDABAT,TURRIALBA,LA UNION,TIBAS,OSA,TALAMANCA,ESCAZU,SARAPIQUI,MATINA,CORREDORES,ALAJUELITA,GOLFITO,MORAVIA,UPALA,GRECIA,SANTA ANA,SAN RAFAEL,GUACIMO,VASQUEZ DE CORONADO,CARRILLO,SANTO DOMINGO,OROTINA,BUENOS AIRES,ASERRI,PARAISO,COTO BRUS,PARRITA,BARVA,ESPARZA,LOS CHILES,BELEN,EL GUARCO,SANTA BARBARA,OREAMUNO,PURISCAL,SAN PABLO,PALMARES,ATENAS,FLORES,NARANJO,CANAS,POAS,BAGACES,LA CRUZ,MORA,ABANGARES,TILARAN,SAN ISIDRO,GUATUSO,JIMENEZ,MONTES DE ORO,TARRAZU,ALVARADO,ACOSTA,LEON CORTES,SAN MATEO,VALVERDE VEGA,RIO CUARTO,NANDAYURE,HOJANCHA,TURRUBARES,ZARCERO,DOTA,MONTEVERDE
2015,1,61,36,19,22,17,14,11,12,9,9,17,9,15,14,14,5,10,13,8,7,7,3,11,8,5,3,7,6,6,10,8,2,6,5,5,3,1,7,7,5,5,6,5,4,4,4,2,5,4,6,2,1,1,1,1,1,1,1,3,7,4,0,0,3,1,5,1,1,1,0,2,4,1,0,1,1,0,0,1,0,0,3,0
2015,2,123,60,37,31,29,17,25,28,26,16,29,16,20,16,13,25,11,15,13,14,8,17,19,11,6,14,10,13,9,6,14,6,12,8,4,7,7,4,8,5,1,3,5,4,2,6,3,6,4,5,11,6,3,4,3,3,8,9,4,10,3,0,1,3,2,3,6,0,4,2,1,2,2,3,0,1,0,0,1,2,2,0,0
2015,3,136,51,33,27,31,26,38,26,38,22,22,16,20,268,12,12,12,19,10,8,7,15,11,9,5,21,13,12,8,19,10,11,10,16,6,5,9,6,11,9,3,9,3,2,9,6,2,5,4,5,10,5,7,5,7,36,3,2,6,16,3,1,1,4,2,6,2,0,1,1,0,1,0,3,2,2,0,2,2,0,1,3,0
2015,4,132,44,39,36,36,22,30,22,27,24,17,21,21,20,10,16,17,19,14,12,14,10,16,9,10,15,14,7,12,16,16,12,9,13,3,12,9,3,7,12,3,8,8,4,7,4,8,6,2,2,4,2,8,2,4,33,0,3,1,9,4,2,4,4,3,8,0,2,3,1,1,3,1,3,4,0,0,2,2,1,0,2,0
2015,5,136,70,36,50,43,21,29,23,26,11,21,14,23,15,10,16,17,18,20,9,11,9,22,8,6,19,13,11,13,8,9,7,17,7,8,6,6,10,15,6,10,8,2,9,6,4,8,7,4,7,4,4,4,7,0,3,0,3,6,16,3,1,5,4,3,3,1,1,4,2,1,1,0,0,0,2,0,3,1,1,1,2,0
2015,6,146,66,39,31,44,38,28,26,27,20,30,12,23,25,13,14,18,49,16,21,13,20,14,8,6,9,17,13,13,12,20,13,18,14,6,5,6,8,8,7,2,10,6,7,7,9,7,3,3,6,8,0,6,4,6,3,8,3,4,10,6,1,4,3,1,3,3,3,1,1,1,0,1,1,0,4,0,2,1,0,0,1,0
2015,7,136,46,45,42,72,31,31,21,36,23,20,21,19,20,22,23,13,22,13,17,21,17,8,10,4,12,11,15,17,12,12,5,12,12,8,11,13,6,8,5,7,13,3,4,4,4,5,3,8,5,7,5,3,9,4,4,7,4,1,5,4,2,5,3,4,5,1,1,2,2,0,1,1,1,0,3,0,2,0,0,0,1,0
2015,8,133,64,45,29,43,34,29,45,27,25,24,19,34,15,13,16,23,19,18,17,17,18,18,22,7,11,12,10,7,12,12,10,12,16,3,6,4,4,5,6,10,4,7,13,6,10,5,4,5,4,9,3,2,7,3,2,7,4,8,15,4,2,4,0,2,8,0,4,1,3,3,2,0,0,1,3,0,2,2,0,0,1,0
2015,9,133,55,35,34,36,29,33,25,36,23,30,18,24,10,15,24,21,15,20,23,13,14,13,19,9,17,8,11,14,8,18,5,15,11,9,8,11,6,3,5,9,8,11,3,5,4,1,3,8,5,2,1,7,2,2,6,0,4,3,12,0,2,4,2,0,2,0,2,2,2,2,2,1,0,1,2,0,1,1,0,0,0,0
2015,10,121,55,40,43,33,29,31,28,26,24,46,22,15,18,21,14,15,21,20,15,14,19,16,6,10,11,11,7,11,13,12,7,9,9,6,6,9,1,5,7,3,8,9,3,7,4,6,4,5,5,10,5,4,9,4,5,6,3,7,7,2,6,2,3,5,3,2,2,1,1,2,1,3,2,2,8,0,2,0,0,2,0,0
2015,11,159,74,51,52,31,24,21,19,24,24,18,22,27,14,24,16,15,25,8,23,14,18,16,9,8,16,14,13,15,11,13,12,14,9,14,7,12,5,9,12,4,4,4,1,8,11,8,3,4,7,6,4,6,4,3,9,2,6,10,5,1,6,0,2,2,0,6,1,1,2,2,0,5,1,0,4,0,1,0,0,0,0,0
2015,12,113,54,52,40,41,24,29,22,22,20,14,30,18,13,16,12,19,24,11,10,16,14,11,7,6,11,14,6,12,12,12,9,11,7,12,8,8,7,9,3,15,7,7,4,6,6,2,3,4,19,8,6,6,6,4,4,6,4,12,7,4,3,3,1,2,0,1,1,2,1,2,4,1,3,3,0,0,1,2,1,1,0,0
2015,13,162,63,35,32,25,28,33,30,13,23,15,15,24,9,14,15,13,25,13,10,12,17,23,9,6,12,15,8,15,14,10,6,9,10,10,7,10,10,9,9,7,8,6,7,3,3,2,5,4,10,5,6,3,3,3,3,2,3,5,5,4,2,4,5,1,3,1,1,3,0,1,0,0,1,1,1,0,2,1,1,0,0,0
2015,14,137,34,30,39,38,24,27,37,35,14,13,17,13,16,14,14,25,23,18,7,13,11,5,11,17,14,13,10,9,11,10,9,13,8,5,10,3,6,7,11,8,4,6,5,7,3,5,2,4,7,9,7,1,1,2,4,1,6,6,7,0,2,2,3,0,3,2,4,2,1,4,2,1,2,1,2,0,1,3,1,1,0,0
2015,15,138,67,41,41,30,26,25,30,31,29,25,25,17,17,17,14,13,11,6,15,12,13,15,7,15,22,18,8,10,12,11,7,19,6,8,12,10,8,5,8,2,10,5,6,8,5,4,3,2,7,5,2,7,4,9,4,4,4,4,9,3,1,5,3,2,2,4,1,3,1,2,0,0,0,1,1,0,1,0,2,3,0,0
2015,16,155,65,38,59,35,30,26,35,26,20,24,23,28,12,19,16,14,24,16,15,14,13,17,10,14,12,10,8,20,12,8,9,14,11,15,8,6,9,6,9,11,9,3,7,6,7,8,3,7,9,7,5,8,4,7,6,5,3,4,10,1,6,4,5,6,6,3,3,0,1,2,2,3,2,0,4,0,3,2,0,0,0,0
2015,17,130,65,47,33,27,35,37,39,24,46,28,26,28,14,13,27,15,20,15,11,16,15,14,12,11,15,20,9,7,17,12,9,13,8,6,8,8,8,12,8,10,12,4,8,8,9,5,5,8,2,6,5,2,5,3,2,6,2,3,5,7,4,3,3,3,2,2,5,2,2,1,0,1,1,0,2,0,2,1,1,1,1,0
2015,18,139,67,37,30,28,27,30,33,25,22,15,26,31,17,18,9,18,21,19,13,16,12,7,10,23,13,16,8,13,7,12,14,14,14,15,3,14,9,10,8,9,3,11,4,1,4,6,7,4,3,8,0,5,2,7,1,1,0,4,4,3,2,10,4,3,4,4,3,1,1,2,0,3,1,1,4,0,2,2,1,0,0,0
2015,19,126,57,45,33,38,25,28,32,27,27,20,24,21,15,21,18,27,18,23,13,19,15,22,5,5,14,12,5,10,13,14,10,14,10,17,11,11,10,13,9,5,8,7,8,7,5,3,5,3,5,5,1,2,6,4,4,3,6,0,7,4,6,1,4,3,3,3,3,2,1,2,1,1,2,0,0,0,0,4,0,1,1,0
2015,20,163,63,39,49,45,30,26,27,27,25,37,22,30,24,9,15,9,18,12,17,11,14,22,13,8,9,6,11,11,16,15,10,15,12,5,7,10,12,9,8,5,7,6,17,6,3,5,5,4,5,4,8,7,4,6,6,1,9,4,7,4,5,9,2,1,2,3,1,1,0,1,0,0,2,3,0,0,1,1,1,0,0,0
2015,21,168,71,125,42,44,32,26,16,38,22,27,22,13,19,15,11,22,18,15,10,9,17,11,13,9,18,8,9,11,11,17,4,11,17,5,7,6,16,11,12,8,9,11,5,5,6,3,3,5,3,6,3,5,8,6,13,4,5,3,9,5,2,1,4,2,1,3,2,3,2,0,1,1,0,0,1,0,2,1,0,3,1,0
